user_id,trip_frequency,average_booking_value,destination_diversity,session_duration,search_behavior_frequentsearcher,search_behavior_occasionalsearcher,search_behavior_raresearcher
1,3.0,402.6754124037859,7.0,34.05578193097008,True,False,False
2,4.0,,7.0,23.15074039581701,False,False,True
3,4.0,426.54171795498155,2.0,17.306191570836365,False,True,False
4,5.0,441.36104308722014,2.0,4.094552177970352,False,False,True
5,4.0,463.814635453383,7.0,41.54662389684116,False,True,False
6,4.0,663.2745567978691,,41.84653786363663,False,True,False
7,9.0,480.51261922705856,2.0,24.82819138178214,True,False,False
8,6.0,339.5684238170653,5.0,22.719386680018406,True,False,False
9,5.0,284.5173897524467,3.0,19.51140363018059,False,True,False
10,8.0,428.42266288764887,2.0,47.29000616324188,False,False,True
11,9.0,508.826658530841,2.0,15.40943803375468,True,False,False
12,13.0,679.7111348613287,9.0,103.45753871631214,False,True,False
13,7.0,841.2547841859229,2.0,100.19293910143378,False,True,False
14,5.0,568.0430786662646,1.0,7.347585875133814,False,False,True
15,7.0,451.2102493651295,3.0,12.190071308300302,False,True,False
16,11.0,128.40270750370854,2.0,2.0088690081426197,False,True,False
17,3.0,463.480446547246,3.0,8.010960816828122,False,False,True
18,6.0,486.3899846745959,3.0,26.627974057835786,False,True,False
19,3.0,628.2984008410742,2.0,12.246178202243986,True,False,False
20,6.0,561.4206708001527,4.0,52.16921393160237,False,True,False
21,2.0,375.11407130552067,2.0,43.56280238151553,True,False,False
22,3.0,609.157082800748,8.0,39.147842214461754,False,False,True
23,5.0,317.21136480449616,5.0,1.1820445492269782,False,False,True
24,3.0,245.43585337402126,3.0,28.718131982149952,False,False,True
25,4.0,535.8576249870923,8.0,71.25614651643832,False,True,False
26,5.0,,6.0,115.2921335297281,False,False,True
27,4.0,690.6809169610535,2.0,10.189089960716307,False,False,True
28,3.0,452.56770839833104,5.0,8.827447253047165,True,False,False
29,8.0,422.3424012865369,2.0,6.0987543788244665,False,True,False
30,8.0,336.09430281366565,1.0,13.705393484131386,True,False,False
31,2.0,,6.0,0.2695257541405613,False,True,False
32,9.0,684.3220779899038,5.0,31.253580109383584,True,False,False
33,4.0,576.2697166595999,3.0,18.2537599629094,False,False,True
34,10.0,675.9867647941962,8.0,10.136491318343571,True,False,False
35,2.0,398.6045614434942,4.0,27.663253666338,False,True,False
36,8.0,389.3492780995154,5.0,15.4112634166115,False,False,True
37,4.0,485.9679276380931,8.0,,False,False,True
38,2.0,780.3900817264923,1.0,7.36536938858938,False,True,False
39,4.0,500.29809825246565,8.0,,True,False,False
40,8.0,390.3955593592698,2.0,56.926727518866166,True,False,False
41,3.0,568.785115445105,7.0,25.05871688961481,False,False,True
42,3.0,597.7532907015255,5.0,14.121056486456538,False,True,False
43,3.0,369.7538289391073,7.0,143.01974740041462,False,False,True
44,6.0,218.6843560350191,5.0,7.354459193277419,False,False,True
45,9.0,,8.0,21.665870225769858,False,False,True
46,7.0,486.3606303711219,5.0,10.686838594677637,True,False,False
47,6.0,309.1810293094619,4.0,23.608160835113146,False,True,False
48,3.0,433.60495103933886,7.0,147.24051556069173,False,False,True
49,6.0,554.9920794971589,6.0,19.68255088414133,False,False,True
50,4.0,596.8689163207804,4.0,37.26626592714492,False,False,True
51,3.0,329.2112767620663,5.0,0.9703929615807116,True,False,False
