trip_frequency,average_booking_value,destination_diversity,session_duration,search_behavior,loyalty_score,discount_usage_rate,booking_lead_time,cancellation_rate,weekend_travel_ratio,app_engagement_score
2.0,495.478042254966,3.0,35.14217481389734,1,54.0899679461786,0.4686402551752342,19.0,0.2272436173191326,0.953436655170485,41.61042399608424
6.0,499.8975193756845,4.0,56.05047227116407,1,84.92242910489921,0.7382216610844885,7.0,0.1905521267032793,0.553811985320107,3.280945465893504
4.0,668.7770426879031,6.0,11.638349048867624,1,50.8401645349697,0.5317560494195726,14.482361076707123,0.4890007768935723,0.3009889157845675,50.06403433428852
5.0,427.75136555483977,3.0,23.81131290115044,0,21.01739182049965,0.8287696700658599,3.0,0.4243080828144845,0.6505656033064575,35.06535088743393
1.0,504.7031046124266,7.0,86.43665495123494,0,65.4833912527697,0.6213192991062481,2.0,0.3849323371678056,0.5232499035468982,13.615811860679583
7.0,677.9614551780098,4.0,15.933048297410428,1,76.82843006350177,0.6980654062085152,1.0,0.3268614097505955,0.9754375677096232,50.45151843906389
3.0,237.47795086919305,1.0,19.143372126835647,0,25.7291374736076,0.9086066801135052,13.0,0.2239843618826561,0.8432320925317569,7.695764711480757
1.0,677.424132223558,4.0,29.889531830299763,2,12.099410168334712,0.9231663940584068,6.0,0.3162619269479453,0.5435990016416588,99.33370148350068
4.0,604.667695275037,4.0,20.88985848341522,1,26.70047292773394,0.405337681937463,0.0,0.2062674916398752,0.0045966570355377,77.04613930095664
5.0,670.0525079428735,3.0,1.8657962186400523,1,55.26488673351483,0.3385387075161307,29.0,0.158254604953638,0.5029179884092956,30.35066826147449
3.0,573.1481746850993,4.0,2.3176960008075227,1,29.837884724256742,0.5838028836197188,16.0,0.2496743285937876,0.4984346415993625,31.00850292117269
7.0,234.37180812336453,2.0,38.719929239696434,1,37.60823271564837,0.5080676618674074,21.0,0.2436355013947848,0.5010070693867632,73.89703754538492
4.0,463.9449854454837,7.0,69.44072015246395,2,49.90110980501684,0.1145786703669541,1.0,0.0333836861998238,0.5874988808389588,74.01244181150456
2.0,276.2684863174588,9.0,2.164090385230208,0,79.28365095828993,0.8403724966574311,13.0,0.12003199743081,0.711543418180824,62.818081106623104
10.0,656.2647815676198,2.0,54.14465399705921,0,9.802725356988272,0.9619840146987896,2.0,0.2891248623715992,0.8585795420454506,28.72095781715035
4.0,681.0967804190038,9.0,28.12366815620049,0,86.02025636974999,0.8239325574970607,14.0,0.171619624508435,0.9186459517801784,60.2827689613729
2.0,711.1170404031712,2.0,36.794606398745536,0,79.5668345661011,0.6158244171103817,3.0,0.1497830549938864,0.6160108221751571,5.24487851026495
7.0,170.15146497422626,6.0,5.305579841820569,2,50.76516442332403,0.7327539913782312,15.0,0.3740166661755441,0.9866274135120094,7.556301712524316
6.0,202.97951852687368,9.0,29.889531830299763,1,94.1842757680621,0.7427645538496497,28.0,0.3038627886795603,0.028456864987327,68.62384229671599
7.0,624.4438944544053,2.0,16.957510036073465,2,49.90110980501684,0.6314195437909689,11.0,0.2288723087566267,0.4984346415993625,34.25403562728321
4.0,667.7744493758696,4.0,20.883109508037585,2,40.34355748238988,0.5445734050201078,19.0,0.1113579581248955,0.4095986509037458,79.41539090769288
4.0,569.2621203575895,2.0,8.701227944902346,0,37.75171765500913,0.0213350685633239,0.0,0.3466198756187473,0.9778949092381638,3.682944984499248
5.0,497.4665661508411,6.0,9.137812699495427,1,92.60769490773336,0.8468310018664069,19.0,0.4717784763519572,0.6266428102998824,3.806344883874846
