user_id,trip_frequency,average_booking_value,destination_diversity,session_duration,search_behavior,loyalty_score,discount_usage_rate,booking_lead_time,cancellation_rate,weekend_travel_ratio,app_engagement_score
1,3.0,,1.0,18.591777808812285,occasionalsearcher,42.3475653644356,0.6136934627890581,,0.24168321161529943,0.5717317439485179,20.9216762570373
2,7.0,777.6251720301125,5.0,7.689000565108158,raresearcher,59.600090952795796,0.22258804754838502,6.0,0.05070658721243698,0.019746878777166854,
3,7.0,479.38472471178056,,65.07638029031561,occasionalsearcher,80.18059689995147,0.8157725720365353,26.0,0.34828109594778073,0.16464077144353095,96.67924648696292
4,4.0,602.0086791971397,,9.825149675978304,occasionalsearcher,,0.5159699925190149,20.0,0.03236632742278245,0.06818606414946848,21.92683807431617
5,3.0,578.9325867673316,3.0,15.282107546163553,raresearcher,96.29669045540848,0.4889078822254459,20.0,,0.9872279111495802,61.14518029340926
6,4.0,,8.0,2.5969769878156326,frequentsearcher,,0.4891791772591596,20.0,0.16032565967794915,0.24729328081939195,62.57638985585612
7,4.0,314.26650830933465,1.0,43.51929900668177,raresearcher,91.3230706532367,,11.0,0.36752356022583726,0.15857700055275403,41.878687023201714
8,,643.6450857583458,3.0,7.668664167306101,raresearcher,59.609438473770936,0.34565433201875273,15.0,0.04555158881946919,0.974449196294154,69.6804371978113
9,5.0,876.5232072509707,8.0,10.44712428567323,occasionalsearcher,,0.1549121041160183,19.0,0.3156326042638126,,67.92876755129222
10,7.0,716.4286456038795,2.0,80.00633333247055,occasionalsearcher,43.38560504126049,,24.0,,0.3421654062000967,
11,,508.59942051666843,6.0,10.576318997187471,raresearcher,88.64046475279683,0.31151525020129367,7.0,0.2759914131718665,0.5738881524578445,16.726299772267993
12,9.0,522.4469699933587,1.0,36.2399340267299,raresearcher,22.24430590628407,0.7487477931318919,4.0,0.0010439172100155658,0.3706577913512006,
13,5.0,380.6248457062718,3.0,79.06965126314002,frequentsearcher,3.4080509575647566,0.9276885720789403,18.0,0.45240225246948074,0.45411934752622185,33.10633494112595
