trip_frequency,average_booking_value,destination_diversity,session_duration,search_behavior,Cluster,Cluster_0_Probability,Cluster_1_Probability,Cluster_2_Probability,Cluster_3_Probability,Cluster_4_Probability,Cluster_5_Probability,Cluster_6_Probability,Cluster_7_Probability,Cluster_8_Probability
6.0,397.83699627488113,8.0,46.71703107291589,2,1,3.7626600379408476e-24,0.8609757275178291,7.889278486678061e-07,1.5903714095668968e-07,0.01343498837526506,0.06179958043281224,0.000303340052701842,0.0634854156562333,1.673599660521757e-13
2.0,879.8302215695527,4.990620259826026,1.510099073377248,0,0,0.9959801006602115,1.9884438325699368e-27,2.6153819715121284e-58,4.1059785879370645e-07,6.440767861527211e-20,1.2833987771292209e-39,7.1710074921513496e-12,3.835893666315667e-17,0.00401948873476029
5.0,518.2286183880495,6.0,66.20023250061374,2,4,9.15517791619888e-14,0.006463479897904622,4.6212491473581104e-15,0.008114761395380771,0.6651747780181378,1.1339093870868473e-06,0.09063035143206087,0.22961334587801896,2.1494690125905736e-06
1.0,270.4886965109493,2.0,17.835808563027,2,5,3.1663644372852004e-39,0.022034667031659266,0.06735409338610368,1.6145375418781973e-16,1.0892664139324986e-08,0.9106089629075198,9.16597124326529e-11,2.2656903931778332e-06,4.521977191191058e-25
5.0,470.7184580077659,8.0,42.17737839885903,0,7,3.681935677154724e-17,0.1703981396023227,2.6028568896652278e-11,0.0004533972086947228,0.10231480147112772,0.00026638646430015076,0.050214080378990826,0.6763531789940158,1.5854519114327343e-08
1.0,504.6363302238733,2.0,77.50798063965054,0,4,2.7288330867353706e-15,0.004644314303334609,1.831234522769107e-14,0.001064547409297319,0.9090682558108859,1.9433572025140947e-06,0.017817271398716476,0.06740353176429505,1.3595624711847442e-07
5.0,686.7879678520736,2.0,11.614865533680051,2,8,0.0006659171012130522,2.0607840651520246e-10,2.5835281873765523e-31,0.4862632300278963,4.2556966457237766e-07,3.2249987590535606e-18,0.01705931502022865,0.00010986373608879662,0.4959012483388303
3.0,554.5165967781329,9.0,23.8709822268932,0,6,8.171776293580299e-11,0.0008307476418870438,5.6539680912983696e-18,0.10152865567354497,0.006309974119912311,1.4141877464224102e-08,0.530647290059693,0.3604846506667927,0.00019866761457576831
7.0,390.32422668037714,4.990620259826026,5.341248191071646,2,1,4.876668882319842e-25,0.8726846497987771,1.6027255871092989e-06,4.064947773449965e-08,7.857877538014722e-05,0.05853629633007098,0.00022302474137154068,0.06847580697929596,3.889456844040817e-14
4.0,470.05293805899487,6.0,85.6975626148334,2,4,2.072698304467875e-18,0.014257261073700747,3.41305038162543e-12,3.929621695163497e-05,0.953167544466276,3.800493694214396e-05,0.002165077381327985,0.030332814981060132,9.403287211025334e-10
4.0,641.0947684191107,6.0,3.918821885780054,0,3,8.196173190020753e-06,9.677745148964088e-08,2.2276518423946168e-26,0.726479833403297,8.471724982555643e-06,1.4801404154795418e-14,0.1727752866163222,0.005313922325773543,0.09541419297896993
3.0,798.9606007211571,3.0,72.46210834027877,0,0,0.6537965016875273,2.4940712773830437e-19,7.307072999259617e-46,0.0024022083349229868,2.917719242679259e-10,2.2803463623598437e-29,3.216415345028119e-07,2.706755668243747e-11,0.34380096801717586
7.0,589.0250480717066,8.0,32.404111607803664,2,6,1.3108598169374268e-08,4.028511140859194e-05,5.216769440985072e-21,0.41776139121854633,0.0044868796245565844,1.2146725065739142e-10,0.4759073634813475,0.0978364396810671,0.003967627653006784
3.0,706.751553715281,4.990620259826026,76.78413587448604,2,8,0.0034780546260040576,6.518319115889711e-12,1.0852299877613313e-33,0.3662984878316816,6.888069689445171e-05,7.502863933302352e-20,0.001797384435530072,4.756174863047788e-06,0.6283524362285099
4.0,591.2101176923395,2.0,12.23026519614815,1,6,1.411110980697754e-08,3.354806623776808e-05,3.293960513542474e-21,0.34044631941897463,0.00042379605942383623,7.539775168449644e-11,0.5467836554892723,0.10842354822448594,0.0038891185550978934
6.0,431.889357742749,9.0,21.23791518871888,0,1,1.1565384252409613e-20,0.5962651097863665,7.705071871809728e-09,9.012581145832867e-06,0.003995851048572992,0.00548280215421882,0.006717099596516877,0.3875301170694561,5.865227262755823e-11
6.0,436.64710895298657,5.0,5.0973955229060826,1,1,2.0985120898215182e-20,0.5064133541698058,3.790842751728063e-09,1.0306491700183237e-05,0.0006126722295740956,0.0030887794641925605,0.008856047607258232,0.481018836157975,8.865061223584547e-11
7.0,679.2214986405421,4.0,56.02264562654188,1,3,0.00036803933773852824,4.14327078714653e-10,1.521452481360625e-30,0.62148502418322,9.770799999167108e-05,1.5049646500574312e-17,0.013253769326455252,9.238737375116007e-05,0.36470307136451763
8.0,419.36260168669537,3.0,11.522413265136914,1,1,5.026989255993077e-22,0.7315755193880991,4.512697434351592e-08,1.6266464717174887e-06,0.0006899506491400428,0.011475676013640053,0.0025578136929565605,0.2536993684765781,6.140942131033145e-12
2.0,387.0000476204775,8.0,3.4111873543522946,0,1,2.7302596919960967e-25,0.8683620925011748,2.1153643403695727e-06,3.007403986950636e-08,6.442378499536541e-05,0.07081151590720552,0.00018858861330867973,0.06057123375491261,2.4454761480699127e-14
